id,name,content,qty,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #2",0,,95.00,,,40.0,10,proste podatne,#2,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #12",0,,95.00,,,40.0,10,proste podatne,#12,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #20",0,,95.00,,,40.0,10,proste podatne,#20,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #22",0,,95.00,,,40.0,10,proste podatne,#22,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #24",0,,95.00,,,40.0,10,proste podatne,#24,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #30",0,,95.00,,,40.0,10,proste podatne,#30,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #33",0,,95.00,,,40.0,10,proste podatne,#33,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #130",0,,95.00,,,40.0,10,proste podatne,#130,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #60",0,,95.00,,,40.0,10,proste podatne,#60,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #PM",0,,95.00,,,40.0,10,proste podatne,#PM,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 40, #PB",0,,95.00,,,40.0,10,proste podatne,#PB,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #1b",1,,157.5,,,51,10,proste podatne,#1b,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #2",0,,157.5,,,51,10,proste podatne,#2,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #12",0,,157.5,,,51,10,proste podatne,#12,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #16",0,,157.5,,,51,10,proste podatne,#16,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #20",0,,157.5,,,51,10,proste podatne,#20,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #18/22",0,,157.5,,,51,10,proste podatne,#18/22,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #22",0,,157.5,,,51,10,proste podatne,#22,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #24",0,,157.5,,,51,10,proste podatne,#24,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #30",0,,157.5,,,51,10,proste podatne,#30,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #33",0,,157.5,,,51,10,proste podatne,#33,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #130",0,,157.5,,,51,10,proste podatne,#130,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #60",0,,157.5,,,51,10,proste podatne,#60,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #PM",0,,157.5,,,51,10,proste podatne,#PM,włosy
,Włosy Słowiańskie w puklu,"Włosy Słowiańskie w puklu, 51, #PB",0,,157.5,,,51,10,proste podatne,#PB,włosy
