id,name,content,qty,image,price_net_buy,price_net_sell,product_index,buy_number,length,gramature,structure,color,product_kind
,Mikroringi z silikonem,"Mikroringi z silikonem, M, jasny blond",0,,,"12,99",,,,,,jasny blond,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, M, blond",0,,,"12,99",,,,,,blond,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, M, ciemny blond",0,,,"12,99",,,,,,ciemny blond,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, M, jasny brąz",0,,,"12,99",,,,,,jasny brąz,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, M, średni brąz",0,,,"12,99",,,,,,średni brąz,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, M, ciemny brąz",0,,,"12,99",,,,,,ciemny brąz,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, M, czarny",0,,,"12,99",,,,,,czarny,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, M, pomarańczowy",0,,,"12,99",,,,,,pomarańczowy,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, L, jasny blond",0,,,"12,99",,,,,,jasny blond,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, L, blond",0,,,"12,99",,,,,,blond,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, L, ciemny blond",0,,,"12,99",,,,,,ciemny blond,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, L, jasny brąz",0,,,"12,99",,,,,,jasny brąz,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, L, średni brąz",0,,,"12,99",,,,,,średni brąz,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, L, ciemny brąz",0,,,"12,99",,,,,,ciemny brąz,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, L, czarny",0,,,"12,99",,,,,,czarny,akcesoria
,Mikroringi z silikonem,"Mikroringi z silikonem, L, pomarańczowy",0,,,"12,99",,,,,,pomarańczowy,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, M, jasny blond",0,,,"9,99",,,,,,jasny blond,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, M, blond",0,,,"9,99",,,,,,blond,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, M, ciemny blond",0,,,"9,99",,,,,,ciemny blond,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, M, jasny brąz",0,,,"9,99",,,,,,jasny brąz,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, M, średni brąz",0,,,"9,99",,,,,,średni brąz,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, M, ciemny brąz",0,,,"9,99",,,,,,ciemny brąz,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, M, czarny",0,,,"9,99",,,,,,czarny,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, M, pomarańczowy",0,,,"9,99",,,,,,pomarańczowy,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, L, jasny blond",0,,,"9,99",,,,,,jasny blond,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, L, blond",0,,,"9,99",,,,,,blond,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, L, ciemny blond",0,,,"9,99",,,,,,ciemny blond,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, L, jasny brąz",0,,,"9,99",,,,,,jasny brąz,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, L, średni brąz",0,,,"9,99",,,,,,średni brąz,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, L, ciemny brąz",0,,,"9,99",,,,,,ciemny brąz,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, L, czarny",0,,,"9,99",,,,,,czarny,akcesoria
,Mikroringi z gwintem,"Mikroringi z gwintem, L, pomarańczowy",0,,,"9,99",,,,,,pomarańczowy,akcesoria
